Agency/Department,Contract Number,Contract Value,Supplier,Procurement Type,Description,Type of Solicitation,Effective From,Effective To
Public Utilities,25000001367,1.00,ORACLE AMERICA INC,Request for Proposal,"Oracle TCSA US-CSA-CPQ3118770 Cloud Services covering contracts 25000001372. 2500001379, 2500001384 Public Sector Agreement for Cloud Services from RFP240002657","Supplies, Technology",07/26/2024 12:00:00 AM,07/25/2029 12:00:00 AM
Public Utilities,25000001372,11300430.00,ORACLE AMERICA INC,Request for Proposal,"Oracle Agreement US-16683245 Professional Services for installation of CIS System, reference Oracle CSA CPQ 3118770 from RFP240002657","Non Professional Services, Technology",07/26/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Human Resources,25000001416,130628.32,SHI INTERNATIONAL CORP,Cooperative Agreement,Cooperative Agreement # 121923-SHI Sourcewell NeoGov/SHI HR technology Solutions,"Non Professional Services, Technology",08/01/2024 12:00:00 AM,02/27/2028 12:00:00 AM
Public Works,25000001556,779366.31,FLB Contractors Inc,Invitation to Bid,IFB 240012202 / VDOT-DPW / Greene ES Sidewalk Improvements Phase 2 / Performance Time of 150 calendar days (minus cold weather days VDOT prevents paving) / NTP 7OCT24,Construction - Capital/Non-Capital,08/19/2024 12:00:00 AM,04/30/2025 12:00:00 AM
Information Technology,25000001883,1194595.59,SHI INTERNATIONAL CORP,Cooperative Agreement,"Requisition250001110/OMNIA Contract No. 2018011-02/VMWare Support and maintenance renewal for 3 years. The Total contract amount is $1,194595.59 to be paid out per year over 3-year period starting July 2024 (FY25) Year 1: $398,198.53 Year 2","Non Professional Services, Technology",08/08/2024 12:00:00 AM,02/28/2025 12:00:00 AM
Public Works,25000002035,125948.40,BARBER MTV INC,Small Purchase,Req 250005267 Small Purchase-Construction Public Works Construction/Installation of overhead doors for City Hall Parking Garage 12 weeks completion date is 5/23/2025,Construction - Term,02/26/2025 12:00:00 AM,05/23/2025 12:00:00 AM
Public Works,25000002557,672000.00,Dropbike Corp d.b.a. Drop Mobility,Invitation to Bid,"Requisition IFB #240010857/Public Bike Share System Operation/5yr, no renewal options.",Equipment - Non Technology,09/26/2024 12:00:00 AM,09/25/2029 12:00:00 AM
City Wide,25000002746,7500000.00,TSRC INC,Cooperative Agreement,Cooperative Initiative / HON Furniture / GovMvmt-VA Beach #5111-1,"Supplies, Non Technology",08/23/2024 12:00:00 AM,06/30/2028 12:00:00 AM
"Registrar, Voter",25000002823,187285.00,"Soch, Inc.",Exempt Purchase,Req# 250002154 / Office of Elections / Integra Sofware Licenses / Exemption,"Supplies, Technology",08/28/2024 12:00:00 AM,08/27/2027 12:00:00 AM
Human Resources,25000003184,10000000.00,Standard Insurance Company,Request for Proposal,RFP# 240009062 / Disability Insurance and Absence Management / Human Resources / 5-Year Initial Term with (2) two-year Renewal options.,"Non Professional Services, Non Technology",11/18/2024 12:00:00 AM,11/17/2029 12:00:00 AM
Information Technology,25000003360,35040.00,"Deltek, Inc.",Agency Request,Requisition250002803/This is to replace agreement no.23000002102. Deltek has purchased Replicon,"Non Professional Services, Technology",09/26/2024 12:00:00 AM,09/25/2025 12:00:00 AM
Information Technology,25000003472,66585.68,Carahsoft Technology Corporation,Cooperative Agreement,Requisition#250003809/Workiva-CGBR-611 Connected Government Budget Reporting Solution - Per Unit 47QSWA18D008F Quote: 49671751 Term: 09/27/2024 - 09/26/2025,"Non Professional Services, Technology",09/26/2024 12:00:00 AM,08/21/2028 12:00:00 AM
"Registrar, Voter",25000003622,196350.00,OWEN G DUNN CO,Exempt Purchase,"Exemption Contract / OOE / Absentee Ballots Processing, Printing and Mailing Services","Non Professional Services, Non Technology",09/19/2024 12:00:00 AM,07/01/2026 12:00:00 AM
Assessor of Real Estate,25000003876,45549.00,Trepp Inc,Small Purchase,"Small Purchase / 9 month term / Cannot extend, must do a procurement method should additional services be required","Non Professional Services, Non Technology",10/01/2024 12:00:00 AM,05/31/2025 12:00:00 AM
Fleet Management,25000003906,817200.00,"Forward Thinking Systems, LLC",Invitation to Bid,IFB 240008190 / Fleet / GPS Telematics Tracking / 2 year initial with 2x two-year renewal options.,"Non Professional Services, Technology",10/07/2024 12:00:00 AM,10/06/2026 12:00:00 AM
Public Works,25000003925,466509.14,Transmap Corporation,Request for Proposal,RFP 240008477 / DPW / Professional Engineering Services / Roadway and Pavement Assessment / Will provide an assessment in calendar year 2024/2025 & may at the City's option perform another assessment in calendar year 2028/2029.,Professional Services,10/24/2024 12:00:00 AM,10/23/2029 12:00:00 AM
Public Works,25000004104,195959.00,"TY'S HAULING & PAVING, INC.",Small Purchase,Requisition #250004299 - Small Purchase Construction - Alley Milling and Paving - DPW,Construction - Term,10/04/2024 12:00:00 AM,10/03/2025 12:00:00 AM
Public Works,25000004386,76739.00,James River Nurseries Inc,Small Purchase,"Requisition 250004164 - Small Purchase - DPW - Gateway Beautification Lanscape Project. APRA Funded - December 31, 2026.","Non Professional Services, Non Technology",11/01/2024 12:00:00 AM,12/31/2026 12:00:00 AM
Public Works,25000004516,342645.82,"M&F Concrete, Inc.",Invitation to Bid,"Requisition 250000459/Maymont Area Sidewalks Project Phase 2, UPC 118063, Award #500865, Project # 107875/one term 150-calendar days/NTP Date 1/13/2025",Construction - Capital/Non-Capital,10/28/2024 12:00:00 AM,03/27/2025 12:00:00 AM
Public Utilities,25000004545,2560000.00,CIS Quality Assurance Inc,Invitation to Bid,CSD Project Staff Augmentation IFB250002261,"Non Professional Services, Non Technology",10/21/2024 12:00:00 AM,10/20/2026 12:00:00 AM
Public Utilities,25000004547,2500000.00,CriticalRiver Inc.,Invitation to Bid,CSD Project Staff Augmentation IFB250002261,"Non Professional Services, Non Technology",10/22/2024 12:00:00 AM,10/21/2026 12:00:00 AM
Public Utilities,25000004548,2500000.00,"Sure Power Consulting, LLC",Invitation to Bid,CSD Project Staff Augmentation IFB250002261,"Non Professional Services, Non Technology",10/28/2024 12:00:00 AM,10/27/2026 12:00:00 AM
Public Utilities,25000004550,2500000.00,TLA Global Holdings,Invitation to Bid,CSD Project Staff Augmentation IFB250002261,"Non Professional Services, Non Technology",10/24/2024 12:00:00 AM,10/23/2026 12:00:00 AM
Budget and Strategic Planning,25000004614,9108.00,MOODYS INVESTORS SERVICE,Agency Request,New Goods & Services Contract Prepare by legal/Requisition 240003648/Moody's Agreement No. 00293347.0 & No. 00347554.0/Formerly agreement no.24000002953,"Non Professional Services, Technology",10/23/2024 12:00:00 AM,10/30/2025 12:00:00 AM
Public Utilities,25000004637,7681650.50,Contaminant Control Inc,Invitation to Bid,IFB240014058 Fulton Gas Works Demo and Remediation,Construction - Capital/Non-Capital,01/06/2025 12:00:00 AM,02/27/2026 12:00:00 AM
Public Works,25000004709,1665690.00,AMERICAN ASPHALT SURFACE RECYCLING INC,Invitation to Bid,IFB Requisition 250002433/Heat Scarification Program/Term120-consecutive calendar days,Construction - Capital/Non-Capital,10/11/2024 12:00:00 AM,06/30/2025 12:00:00 AM
Finance,25000004714,600000.00,J D Power,Agency Request,Master License and Services Agreement,"Non Professional Services, Non Technology",10/01/2024 12:00:00 AM,09/30/2026 12:00:00 AM
Public Works,25000004716,6501679.25,MESSER CONTRACTING LLC,Invitation to Bid,250002035 - ARPA - IFB - James River Branch Trail Construction Project #107839 - The performance time is 730 consecutive calendar days,Construction - Capital/Non-Capital,12/02/2024 12:00:00 AM,12/01/2026 12:00:00 AM
Public Works,25000004819,2200000.00,SLURRY PAVERS INC,Invitation to Bid,"IFB 250002423 / DPW / Slurry Paving Application Services / One-Year Initial Term, 4x One-Year Renewal Options",Construction - Term,10/23/2024 12:00:00 AM,10/22/2026 12:00:00 AM
Finance,25000005058,350000.00,KPMG LLP,Cooperative Agreement,Auditing and Consulting services Utilizing IFB154849KC,"Non Professional Services, Non Technology",12/19/2024 12:00:00 AM,12/18/2025 12:00:00 AM
Public Utilities,25000005202,2393820.00,Municipal and Contractors Sealing Products Inc,Invitation to Bid,"Requisition 240008998 IFB Requisition 240008998/Geopolymer Sewer Rehabilitation Multiple Locations: Term 400 calendar days NTP January 21, 2025 to February 24, 2026.",Construction - Term,11/04/2024 12:00:00 AM,03/27/2026 12:00:00 AM
Information Technology,25000005210,41520.00,"ePlus Technology, inc.",Cooperative Agreement,Contract no. 25000005210/ePlus/Contract No UVA-AGR-IT-00178-ePlus/TERM: 60 MONTHS,"Non Professional Services, Technology",12/12/2024 12:00:00 AM,12/31/2028 12:00:00 AM
Public Works,25000005262,554690.03,B & B SIGNAL CO LLC,Invitation to Bid,Requisition 250002493/Midlothian Tpke @ 32nd St Traffic Signal Project/Terms 240 consecutive calendar days/NTP Date 1/13/2025,Construction - Capital/Non-Capital,10/11/2024 12:00:00 AM,11/02/2025 12:00:00 AM
Public Utilities,25000005272,2237854.10,Pond and Company,Request for Proposal,Cathodic Protection Services as defined in RFP240011728 and contract 25000005272,"Non Professional Services, Non Technology",12/06/2024 12:00:00 AM,12/05/2026 12:00:00 AM
City Wide,25000005333,500000.00,BALL OFFICE PRODUCTS LLC,Cooperative Agreement,Citywide Cooperative Contract for Davis Furniture via Ball Office Products / Region 14 Education Service Center Contract #07-84,"Supplies, Non Technology",11/19/2024 12:00:00 AM,09/30/2025 12:00:00 AM
Public Works,25000005406,591516.95,B & B SIGNAL CO LLC,Invitation to Bid,"IFB# 250003405 / Patterson Avenue Traffic Signal project / DPW / 240 Days from NTP (January 27, 2025).",Construction - Capital/Non-Capital,11/14/2024 12:00:00 AM,01/26/2026 12:00:00 AM
Public Utilities,25000005487,2379255.90,Pipe Vision LLC,Invitation to Bid,"Convert Pipe Vision LLC Contract # 24000010436 from Blanket Purchase Agreement to a Contract Purchase Agreement. IFB 240006304/DPU - Sewer / Sewer Investigative Services & Cleaning / 2-year initial term with 2, two-year renewals.",Construction - Term,04/29/2024 12:00:00 AM,04/28/2026 12:00:00 AM
Public Utilities,25000005491,1583200.00,Hall Automotive LLC,Invitation to Bid,IFB250004215 Department of Utilities - Ford Service Vehicles,"Supplies, Non Technology",12/02/2024 12:00:00 AM,06/30/2025 12:00:00 AM
"Parks, Recreation and Community Facilities",25000005762,6997863.61,VIRTEXCO CORPORATION,Invitation to Bid,"Change Order #4 - $145,589.51; IFB No. 250004964 is for the Calhoun Community Center Renovations (ARPA). The performance time of the contract is 260 from issue of NTP.",Construction - Capital/Non-Capital,12/16/2024 12:00:00 AM,12/04/2026 12:00:00 AM
Public Works,25000005763,1040000.00,Dominion Utilities,Invitation to Bid,IFB# 250003082 / FY25 Sidewalk Program / DPW / 120 Days from NTP,Construction - Capital/Non-Capital,12/02/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Public Works,25000005765,884000.00,ADDO ENTERPRISE INC,Invitation to Bid,IFB# 250003082 / FY25 Sidewalk Program / DPW / 120 Days,Construction - Capital/Non-Capital,12/02/2024 12:00:00 AM,06/30/2025 12:00:00 AM
Public Works,25000005766,676000.00,SIMONS CONTRACTING CO,Invitation to Bid,IFB# 250003082 / FY25 Sidewalk Program / DPW / 120 Days Performance Time,Construction - Capital/Non-Capital,12/02/2024 12:00:00 AM,06/30/2026 12:00:00 AM
Public Utilities,25000005817,247072.00,Law and Order Technology LLC,Cooperative Agreement,"Requisition 250004244 COOp Sourcewell Contract #090122-PNA; Quote #A9162024001; to purchase Panasonic Toughbooks DPU Harrision, Toi Zenobia Law and Order Technology LLC",Equipment - Technology,12/12/2024 12:00:00 AM,11/07/2026 12:00:00 AM
Public Works,25000005825,150000.00,Palms & Pines LLC,Invitation to Bid,IFB No. 240010873 is for the Free Rides to Work Program. The initial Term is three (3) years with two (2) one-year renewals,"Non Professional Services, Non Technology",12/18/2024 12:00:00 AM,12/17/2027 12:00:00 AM
Public Works,25000005830,250000.00,Community Transportation,Invitation to Bid,IFB No. 240010873 is the Free Rides to Work Program. The initial Term is three (3) years with two (2) one-year renewal options.,"Non Professional Services, Non Technology",12/18/2024 12:00:00 AM,12/17/2027 12:00:00 AM
Public Utilities,25000005978,95682.00,CARTER MACHINERY COMPANY INC,Cooperative Agreement,Carter Machinery Company Trailers (4) $23920.50 2024 Pitts TA20 Tag Along Deck Trailer Sourcewell Contract# 092922-PTT,Equipment - Non Technology,12/11/2024 12:00:00 AM,12/20/2026 12:00:00 AM
Public Works,25000006002,1321118.00,Lee Hy Construction LLC,Invitation to Bid,IFB 250004150 / DPW / State of Good Repair / 85 day performance time,Construction - Capital/Non-Capital,12/02/2024 12:00:00 AM,04/30/2025 12:00:00 AM
"Parks, Recreation and Community Facilities",25000006046,628671.00,JOHN K GEORGE CO,Invitation to Bid,IFB No. 250004517 is for the Crooked Branch Ravine Park 42nd St. Bridge (ARPA). The contract performance time is 280 consecutive calendar days.,Construction - Capital/Non-Capital,12/10/2024 12:00:00 AM,09/16/2025 12:00:00 AM
"Parks, Recreation and Community Facilities",25000006059,2525000.00,H.G. Reynolds Co. Inc.,Invitation to Bid,IFB No.250005333 is for the Texas Beach Pedestrian Bridge Rehabilitation (ARPA) Project The contract performance time 365 consecutive calendar days. NTP date is 8/18/25,Construction - Capital/Non-Capital,08/18/2025 12:00:00 AM,08/17/2027 12:00:00 AM
"Parks, Recreation and Community Facilities",25000006064,419991.20,"Miracle Recreation Equipment Company, Inc",Cooperative Agreement,"Req 250005893 Humphrey Calder Playground PLAYGROUND EQUIPMENT MAINTENANCE AND REPAIR, INCLUDING INSTALLATION AND REMOVAL",Equipment - Non Technology,12/03/2024 12:00:00 AM,02/17/2026 12:00:00 AM
"Parks, Recreation and Community Facilities",25000006065,374378.00,"Miracle Recreation Equipment Company, Inc",Cooperative Agreement,Req 250006064 ARPA - Battery Park Replacement Playground (This is a co-op) PLAYGROUND EQUIP (SEE 420-04 FOR BLEACHERS),Equipment - Non Technology,12/03/2024 12:00:00 AM,02/17/2026 12:00:00 AM
"Parks, Recreation and Community Facilities",25000006147,10863.00,Ankored Inc,Small Purchase,Contract No. 25000006147 is a small request from Parks & Rec. that required a Goods and Services Contract with four (4) one (1) year renewals.,"Non Professional Services, Non Technology",12/13/2024 12:00:00 AM,12/12/2025 12:00:00 AM
Public Works,25000006298,64000.00,RUPPERT LANDSCAPE,Small Purchase,Requisition 250006533/Urban Forestry (ARPA) - Ruppert Landscape - North Richmond 2 Beautification Project for Chamberlayne & Azalea - Labor & Materials,"Non Professional Services, Non Technology",12/16/2024 12:00:00 AM,12/15/2025 12:00:00 AM
"Parks, Recreation and Community Facilities",25000006430,498612.75,"Kompan, Inc.",Cooperative Agreement,Contract No. 25000006430 is for requestion no. 2500066365 (Whitcomb playground equipment utilizing ARPA funds,Equipment - Non Technology,12/16/2024 12:00:00 AM,12/31/2026 12:00:00 AM
"Parks, Recreation and Community Facilities",25000006431,360787.65,"Kompan, Inc.",Cooperative Agreement,Requestion no.250006400 is for Riverview playground equipment using ARPA funds,Equipment - Non Technology,12/18/2024 12:00:00 AM,12/31/2026 12:00:00 AM
Public Works,25000006463,2096043.00,"Team Henry Enterprises, LLC",Invitation to Bid,IFB No. 250003548 Is for the Richmond Slave Trail Renovation with a completion date of 270 calendar days from issuance of NTP.,Construction - Capital/Non-Capital,01/06/2025 12:00:00 AM,10/03/2025 12:00:00 AM
Public Works,25000006509,128000.00,Ricky Freeman Jr,Small Purchase,Requisition 250006589 - DPW - Urban Forestry (ARPA) - Tree Planting Project of 400 trees in the City Right-of-Way various locations.,"Non Professional Services, Non Technology",12/16/2024 12:00:00 AM,12/15/2025 12:00:00 AM
Public Utilities,25000006552,6000000.00,MULCARE PIPELINE SOLUTIONS,Invitation to Bid,IFB 250001145 - Gas Meters Commercial and Residential - Mulcare Pipeline Solutions.,"Non Professional Services, Non Technology",12/27/2024 12:00:00 AM,12/26/2029 12:00:00 AM
Emergency Communication,25000006588,146873.32,HONEYWELL INTERNATIONAL INC,Agency Request,"NAME CHANGE Contract #18000001168: Hardware & Software repair services for USDD fire station alerting system/ Req. 170020447 (original contract Amount Agreed=$1,011,458.42, amount released=$864,585.10; remaining balance=$146,873.32)","Non Professional Services, Non Technology",01/01/2025 12:00:00 AM,12/31/2025 12:00:00 AM
Public Utilities,25000006600,71697.62,IFS Ultimo Americas Inc,Agency Request,Formerly Agr Sole Source - Req 210006037/ See Note to File- Supplies - Technology / Department of Public Utilities / JB Systems dba Mainsaver Software) DPU Wastewater & Water Treatment Plants,"Non Professional Services, Technology",03/30/2021 12:00:00 AM,12/31/2025 12:00:00 AM
"Library, Richmond Public",25000006610,66715.63,"Liberty Systems, Inc.",Cooperative Agreement,Req 250006710 / Co-Op / TIPS / Library Furniture,"Supplies, Non Technology",12/20/2024 12:00:00 AM,05/31/2028 12:00:00 AM
Emergency Communication,25000006611,249765.00,"Carolina Recording Systems, LLC",Agency Request,"Requisition #250005194: Only Practical Source: GF - Carolina Recording Systems - Eventide NexLog 740DX Recorder Upgrade - NexLog 740 DX Series base system with Peripherals. Initial 5 year term, with (4) 1-year Renewals","Non Professional Services, Technology",12/19/2024 12:00:00 AM,12/18/2029 12:00:00 AM
Public Works,25000006792,2066701.25,Richardson-Wayland Electrical Company,Invitation to Bid,"Previously Contract# 24000010255 - IFB# 240007089 - Semmes Ave. / 34th Street Traffic Signal (UPC 113446) and Forest Hill Avenue Streetscape Design (UPC No. 113445) - performance time is 320 consecutive days (Previously Paid $40,288.49)",Construction - Capital/Non-Capital,04/22/2024 12:00:00 AM,04/22/2025 12:00:00 AM
Public Works,25000006812,2747652.80,Lumin8 Technologies Services LLC,Invitation to Bid,"IFB 250004052 / VDOT Construction / Richmond Signal System Phase IV / 608 Calendar Day Completion Time / NTP 1 April, 2025",Construction - Capital/Non-Capital,12/30/2024 12:00:00 AM,12/30/2026 12:00:00 AM
